country,fullName,id,nationalPoliticalGroup,politicalGroup
Sweden,Lars ADAKTUSSON,124990,Kristdemokraterna,Group of the European People's Party (Christian Democrats)
Italy,Isabella ADINOLFI,124831,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Italy,Marco AFFRONTE,124797,Movimento 5 Stelle,Group of the Greens/European Free Alliance
Italy,Laura AGEA,124811,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
United Kingdom,John Stuart AGNEW,96897,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Spain,Clara Eugenia AGUILERA GARCÍA,125045,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Daniela AIUTO,124842,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
United Kingdom,Tim AKER,99650,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Spain,Marina ALBIOL GUZMÁN,125048,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left
Germany,Jan Philipp ALBRECHT,96736,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Bulgaria,Nedzhmi ALI,34250,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe
France,Louis ALIOT,30190,Front national,Europe of Nations and Freedom Group
France,Michèle ALLIOT-MARIE,1179,Les Républicains,Group of the European People's Party (Christian Democrats)
United Kingdom,Lucy ANDERSON,124949,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Martina ANDERSON,113959,Sinn Fein,Confederal Group of the European United Left - Nordic Green Left
Sweden,Max ANDERSSON,124994,Miljöpartiet de gröna,Group of the Greens/European Free Alliance
France,Eric ANDRIEU,113892,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Laima Liucija ANDRIKIENĖ,28276,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats)
Greece,Nikos ANDROULAKIS,125110,Panhellenic Socialist Movement - Olive Tree,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Gerolf ANNEMANS,124973,Vlaams Belang,Europe of Nations and Freedom Group
Belgium,Maria ARENA,124936,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Pascal ARIMONT,24922,Christlich Soziale Partei,Group of the European People's Party (Christian Democrats)
France,Marie-Christine ARNAUTU,124748,Front national,Europe of Nations and Freedom Group
United Kingdom,Jonathan ARNOTT,124958,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
France,Jean ARTHUIS,124773,Union des Démocrates et Indépendants,Group of the Alliance of Liberals and Democrats for Europe
United Kingdom,Richard ASHWORTH,28132,Conservative Party,European Conservatives and Reformists Group
Portugal,Francisco ASSIS,28307,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Janice ATKINSON,124938,-,Europe of Nations and Freedom Group
Denmark,Margrete AUKEN,28161,Socialistisk Folkeparti,Group of the Greens/European Free Alliance
Lithuania,Petras AUŠTREVIČIUS,124766,Lietuvos Respublikos liberalų sąjūdis,Group of the Alliance of Liberals and Democrats for Europe
Spain,Inés AYALA SENDER,28292,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Pilar AYUSO,4319,Partido Popular,Group of the European People's Party (Christian Democrats)
Netherlands,Johannes Cornelis van BAALEN,96937,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe
Luxembourg,Georges BACH,97293,Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats)
France,Guillaume BALAS,124744,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Zigmantas BALČYTIS,96680,Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,Zoltán BALCZÓ,96877,Jobbik Magyarországért Mozgalom,Non-attached Members
Germany,Burkhard BALZ,96997,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Bulgaria,Nikolay BAREKOV,124871,Reload Bulgaria Party,European Conservatives and Reformists Group
United Kingdom,Amjad BASHIR,124956,Conservative Party,European Conservatives and Reformists Group
United Kingdom,Gerard BATTEN,28497,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
France,Nicolas BAY,124760,Front national,Europe of Nations and Freedom Group
Belgium,Hugues BAYET,125002,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Catherine BEARDER,96955,Liberal Democrats,Group of the Alliance of Liberals and Democrats for Europe
Spain,Beatriz BECERRA BASTERRECHEA,125040,Independiente,Group of the Alliance of Liberals and Democrats for Europe
Austria,Heinz K. BECKER,107041,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats)
Italy,Tiziana BEGHIN,124777,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Netherlands,Bas BELDER,4507,Staatkundig Gereformeerde Partij,European Conservatives and Reformists Group
Belgium,Ivo BELET,28257,Christen-Democratisch & Vlaams,Group of the European People's Party (Christian Democrats)
Denmark,Bendt BENDTSEN,96705,Det Konservative Folkeparti,Group of the European People's Party (Christian Democrats)
Italy,Brando BENIFEI,124867,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Xabier BENITO ZILUAGA,135490,PODEMOS,Confederal Group of the European United Left - Nordic Green Left
France,Pervenche BERÈS,1985,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Joëlle BERGERON,124740,Sans étiquette,Europe of Freedom and Direct Democracy Group
Italy,Goffredo Maria BETTINI,124819,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Izaskun BILBAO BARANDICA,96922,Partido Nacionalista Vasco,Group of the Alliance of Liberals and Democrats for Europe
France,Dominique BILDE,124771,Front national,Europe of Nations and Freedom Group
Italy,Mara BIZZOTTO,97198,Lega Nord,Europe of Nations and Freedom Group
Sweden,Malin BJÖRK,124992,Vänsterpartiet,Confederal Group of the European United Left - Nordic Green Left
Spain,José BLANCO LÓPEZ,125044,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Vilija BLINKEVIČIŪTĖ,96681,Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,Andrea BOCSKOR,124712,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Germany,Reimer BÖGE,1037,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Slovenia,Franc BOGOVIČ,125004,Slovenska ljudska stranka,Group of the European People's Party (Christian Democrats)
Italy,Simona BONAFÈ,124814,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Michał BONI,124896,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Italy,Mario BORGHEZIO,21817,Lega Nord,Europe of Nations and Freedom Group
Italy,David BORRELLI,124796,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Croatia,Biljana BORZAN,112748,Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Victor BOŞTINARU,39711,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Louise BOURS,124964,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
France,Marie-Christine BOUTONNET,124753,Front national,Europe of Nations and Freedom Group
France,José BOVÉ,96744,Europe Écologie,Group of the Greens/European Free Alliance
Ireland,Lynn BOYLAN,124984,Sinn Féin,Confederal Group of the European United Left - Nordic Green Left
United Kingdom,Paul BRANNEN,124954,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Mercedes BRESSO,28346,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Renata BRIANO,124787,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Steeve BRIOIS,124757,Front national,Europe of Nations and Freedom Group
Germany,Elmar BROK,1263,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Germany,Klaus BUCHNER,124818,Ökologisch-Demokratische Partei,Group of the Greens/European Free Alliance
Romania,Daniel BUDA,125012,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Germany,Udo BULLMANN,4267,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Cristian-Silviu BUŞOI,38420,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Germany,Reinhard BÜTIKOFER,96739,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Poland,Jerzy BUZEK,28269,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Spain,Soledad CABEZÓN RUIZ,125041,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Alain CADEC,96849,Les Républicains,Group of the European People's Party (Christian Democrats)
Spain,Enrique CALVET CHAMBON,129407,Independiente,Group of the Alliance of Liberals and Democrats for Europe
Netherlands,Wim van de CAMP,96754,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats)
United Kingdom,David CAMPBELL BANNERMAN,96912,Conservative Party,European Conservatives and Reformists Group
Italy,Nicola CAPUTO,124851,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Ireland,Matt CARTHY,124986,Sinn Féin,Confederal Group of the European United Left - Nordic Green Left
United Kingdom,James CARVER,124971,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Malta,David CASA,28122,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats)
Germany,Daniel CASPARY,28219,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Italy,Fabio Massimo CASTALDO,124812,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Spain,Pilar del CASTILLO VERA,28390,Partido Popular,Group of the European People's Party (Christian Democrats)
France,Jean-Marie CAVADA,28206,Génération Citoyens,Group of the Alliance of Liberals and Democrats for Europe
Italy,Lorenzo CESA,28451,Unione di Centro,Group of the European People's Party (Christian Democrats)
Czech Republic,Dita CHARANZOVÁ,124708,ANO 2011,Group of the Alliance of Liberals and Democrats for Europe
France,Aymeric CHAUPRADE,124752,Les Français Libres,Non-attached Members
Ireland,Nessa CHILDERS,96603,Independent,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Caterina CHINNICI,124861,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Nikolaos CHOUNTIS,26851,Popular Unity,Confederal Group of the European United Left - Nordic Green Left
Denmark,Ole CHRISTENSEN,28154,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Cyprus,Lefteris CHRISTOFOROU,26837,Democratic Rally,Group of the European People's Party (Christian Democrats)
Greece,Kostas CHRYSOGONOS,125061,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left
Italy,Salvatore CICU,124854,Forza Italia,Group of the European People's Party (Christian Democrats)
Italy,Angelo CIOCCA,183793,Lega Nord,Europe of Nations and Freedom Group
Italy,Alberto CIRIO,124772,Forza Italia,Group of the European People's Party (Christian Democrats)
Ireland,Deirdre CLUNE,124988,Fine Gael Party,Group of the European People's Party (Christian Democrats)
United Kingdom,David COBURN,124967,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Portugal,Carlos COELHO,1892,Partido Social Democrata,Group of the European People's Party (Christian Democrats)
Italy,Sergio Gaetano COFFERATI,96915,-,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Birgit COLLIN-LANGEN,112788,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
United Kingdom,Jane COLLINS,124955,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Italy,Lara COMI,96775,Forza Italia,Group of the European People's Party (Christian Democrats)
Malta,Therese COMODINI CACHIA,124968,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats)
Sweden,Anna Maria CORAZZA BILDT,96674,Moderaterna,Group of the European People's Party (Christian Democrats)
United Kingdom,Richard CORBETT,2309,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Ignazio CORRAO,124856,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Italy,Silvia COSTA,96917,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Javier COUSO PERMUY,125997,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left
Italy,Andrea COZZOLINO,96880,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Michael CRAMER,28238,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Romania,Andi CRISTEA,40224,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Ireland,Brian CROWLEY,2109,Fianna Fáil Party,European Conservatives and Reformists Group
Slovakia,Pál CSÁKY,124930,Strana mad'arskej komunity- Magyar Közösség Pártja,Group of the European People's Party (Christian Democrats)
Poland,Ryszard CZARNECKI,28372,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Poland,Edward CZESAK,132925,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Netherlands,Peter van DALEN,96809,ChristenUnie,European Conservatives and Reformists Group
Malta,Miriam DALLI,124970,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Daniel DALTON,35135,Conservative Party,European Conservatives and Reformists Group
Sweden,Jakop DALUNDE,183338,Miljöpartiet de gröna,Group of the Greens/European Free Alliance
Italy,Rosa D'AMATO,124835,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
United Kingdom,Seb DANCE,124952,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Viorica DĂNCILĂ,95281,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Arnaud DANJEAN,96747,Les Républicains,Group of the European People's Party (Christian Democrats)
Italy,Nicola DANTI,124821,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Michel DANTIN,97296,Les Républicains,Group of the European People's Party (Christian Democrats)
United Kingdom,William (The Earl of) DARTMOUTH,96958,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
France,Rachida DATI,72775,Les Républicains,Group of the European People's Party (Christian Democrats)
Italy,Paolo DE CASTRO,96891,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Angélique DELAHAYE,124732,Les Républicains,Group of the European People's Party (Christian Democrats)
Hungary,Andor DELI,124714,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
France,Karima DELLI,96868,Europe Écologie,Group of the Greens/European Free Alliance
Luxembourg,Mady DELVAUX,124776,Parti ouvrier socialiste luxembourgeois,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Fabio DE MASI,124858,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left
Belgium,Mark DEMESMAEKER,117477,Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group
Italy,Isabella DE MONTE,124803,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Jean-Paul DENANOT,94282,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Gérard DEPREZ,1473,Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe
Germany,Albert DESS,28228,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats)
Hungary,Tamás DEUTSCH,96826,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
United Kingdom,Nirj DEVA,4556,Conservative Party,European Conservatives and Reformists Group
Romania,Mircea DIACONU,124805,Independent,Group of the Alliance of Liberals and Democrats for Europe
Spain,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,28397,Partido Popular,Group of the European People's Party (Christian Democrats)
Czech Republic,Martina DLABAJOVÁ,124709,ANO 2011,Group of the Alliance of Liberals and Democrats for Europe
United Kingdom,Anneliese DODDS,124969,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Diane DODDS,96951,Democratic Unionist Party,Non-attached Members
Denmark,Jørn DOHRMANN,124878,Dansk Folkeparti,European Conservatives and Reformists Group
Italy,Herbert DORFMANN,96787,Südtiroler Volkspartei (Partito popolare sudtirolese),Group of the European People's Party (Christian Democrats)
France,Mireille D'ORNANO,124750,Front national,Europe of Nations and Freedom Group
Romania,Damian DRĂGHICI,124786,Independent,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Ian DUNCAN,124960,Conservative Party,European Conservatives and Reformists Group
France,Pascal DURAND,124693,Europe Écologie,Group of the Greens/European Free Alliance
Bulgaria,Angel DZHAMBAZKI,124873,VMRO,European Conservatives and Reformists Group
Germany,Stefan ECK,124863,Independent,Confederal Group of the European United Left - Nordic Green Left
Germany,Christian EHLER,28226,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Netherlands,Bas EICKHOUT,96725,GroenLinks,Group of the Greens/European Free Alliance
Luxembourg,Frank ENGEL,96876,Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats)
Sweden,Linnéa ENGSTRÖM,128588,Miljöpartiet de gröna,Group of the Greens/European Free Alliance
Greece,Georgios EPITIDEIOS,125071,Popular Association – Golden Dawn,Non-attached Members
Hungary,Norbert ERDŐS,124711,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Germany,Cornelia ERNST,96852,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left
Germany,Ismail ERTUG,96842,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Rosa ESTARÀS FERRAGUT,96811,Partido Popular,Group of the European People's Party (Christian Democrats)
United Kingdom,Bill ETHERIDGE,124951,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
United Kingdom,Jill EVANS,4550,Plaid Cymru - Party of Wales,Group of the Greens/European Free Alliance
Italy,Eleonora EVI,124779,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Slovenia,Tanja FAJON,96911,Socialni demokrati,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Nigel FARAGE,4525,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Portugal,José Inácio FARIA,125101,Partido da Terra,Group of the European People's Party (Christian Democrats)
Sweden,Fredrick FEDERLEY,124989,Centerpartiet,Group of the Alliance of Liberals and Democrats for Europe
Germany,Markus FERBER,1917,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats)
Portugal,José Manuel FERNANDES,96899,Partido Social Democrata,Group of the European People's Party (Christian Democrats)
Spain,Jonás FERNÁNDEZ,125046,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Edouard FERRAND,124767,Front national,Europe of Nations and Freedom Group
Italy,Laura FERRARA,124833,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Portugal,João FERREIRA,96706,Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left
United Kingdom,Raymond FINCH,124941,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Spain,Santiago FISAS AYXELÀ,96729,Partido Popular,Group of the European People's Party (Christian Democrats)
Italy,Raffaele FITTO,4465,Conservatori e Riformisti,European Conservatives and Reformists Group
Sweden,Christofer FJELLNER,28126,Moderaterna,Group of the European People's Party (Christian Democrats)
Ireland,Luke Ming FLANAGAN,124985,Independent,Confederal Group of the European United Left - Nordic Green Left
Slovakia,Monika FLAŠÍKOVÁ BEŇOVÁ,23868,SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Knut FLECKENSTEIN,96840,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Karl-Heinz FLORENZ,1038,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Italy,Lorenzo FONTANA,96993,Lega Nord,Europe of Nations and Freedom Group
United Kingdom,Vicky FORD,96949,Conservative Party,European Conservatives and Reformists Group
Italy,Eleonora FORENZA,125193,Lista Tsipras-L'Altra Europa,Confederal Group of the European United Left - Nordic Green Left
United Kingdom,Jacqueline FOSTER,4553,Conservative Party,European Conservatives and Reformists Group
Poland,Anna Elżbieta FOTYGA,28353,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Greece,Lampros FOUNTOULIS,125070,Popular Association – Golden Dawn,Non-attached Members
United Kingdom,Ashley FOX,96957,Conservative Party,European Conservatives and Reformists Group
Austria,Eugen FREUND,125018,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Doru-Claudian FRUNZULICĂ,124790,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Mariya GABRIEL,96848,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
Germany,Michael GAHLER,2341,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Hungary,Kinga GÁL,28150,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Hungary,Ildikó GÁLL-PELCZ,102886,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Spain,Francesc GAMBÚS,125006,-,Group of the European People's Party (Christian Democrats)
Spain,Iratxe GARCÍA PÉREZ,28298,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Eider GARDIAZABAL RUBIAL,96991,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Elisabetta GARDINI,58758,Forza Italia,Group of the European People's Party (Christian Democrats)
Italy,Enrico GASBARRA,124817,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Evelyne GEBHARDT,1913,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Jens GEIER,96833,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Elena GENTILE,124847,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Gerben-Jan GERBRANDY,96940,Democraten 66,Group of the Alliance of Liberals and Democrats for Europe
Germany,Arne GERICKE,124815,Familien-Partei Deutschlands,European Conservatives and Reformists Group
Poland,Lidia Joanna GERINGER de OEDENBERG,28377,Bezpartyjna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Sven GIEGOLD,96730,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Poland,Adam GIEREK,28379,Unia Pracy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Jens GIESEKE,124807,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
United Kingdom,Neena GILL,4533,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Nathan GILL,124965,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Spain,María Teresa GIMÉNEZ BARBAT,135491,-,Group of the Alliance of Liberals and Democrats for Europe
United Kingdom,Julie GIRLING,96956,Conservative Party,European Conservatives and Reformists Group
Italy,Michela GIUFFRIDA,124864,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Sylvie GODDYN,21331,Front national,Europe of Nations and Freedom Group
Luxembourg,Charles GOERENS,840,Parti démocratique,Group of the Alliance of Liberals and Democrats for Europe
France,Bruno GOLLNISCH,1164,Front national,Non-attached Members
Portugal,Ana GOMES,28306,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Tania GONZÁLEZ PEÑAS,127330,PODEMOS,Confederal Group of the European United Left - Nordic Green Left
Spain,Esteban GONZÁLEZ PONS,125027,Partido Popular,Group of the European People's Party (Christian Democrats)
Poland,Beata GOSIEWSKA,124900,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Netherlands,Marcel de GRAAFF,125025,Partij voor de Vrijheid,Europe of Nations and Freedom Group
Greece,Giorgos GRAMMATIKAKIS,125112,The River,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Luis de GRANDES PASCUAL,28393,Partido Popular,Group of the European People's Party (Christian Democrats)
Romania,Maria GRAPINI,124785,Partidul Puterii Umaniste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Ingeborg GRÄSSLE,28220,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Austria,Karoline GRASWANDER-HAINZ,133316,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Nathalie GRIESBECK,28208,Mouvement Démocrate,Group of the Alliance of Liberals and Democrats for Europe
United Kingdom,Theresa GRIFFIN,124961,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Latvia,Iveta GRIGULE,124745,Zaļo un Zemnieku savienība,Group of the Alliance of Liberals and Democrats for Europe
France,Françoise GROSSETÊTE,2025,Les Républicains,Group of the European People's Party (Christian Democrats)
Poland,Andrzej GRZYB,23785,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats)
Italy,Roberto GUALTIERI,96892,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Enrique GUERRERO SALOM,96768,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Sylvie GUILLAUME,96952,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Antanas GUOGA,124763,Independent,Group of the European People's Party (Christian Democrats)
