country,fullName,id,nationalPoliticalGroup,politicalGroup
Sweden,Jytte GUTELAND,124991,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Sergio GUTIÉRREZ PRIETO,103488,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,András GYÜRK,23816,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Cyprus,Takis HADJIGEORGIOU,96907,Progressive Party of Working People - Left - New Forces,Confederal Group of the European United Left - Nordic Green Left
Finland,Jussi HALLA-AHO,124727,Perussuomalaiset,European Conservatives and Reformists Group
Germany,Thomas HÄNDEL,96851,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left
United Kingdom,Daniel HANNAN,4555,Conservative Party,European Conservatives and Reformists Group
Ireland,Marian HARKIN,28116,Independent,Group of the Alliance of Liberals and Democrats for Europe
Germany,Rebecca HARMS,28233,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Germany,Martin HÄUSLING,96752,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Finland,Heidi HAUTALA,2054,Vihreä liitto,Group of the Greens/European Free Alliance
Ireland,Brian HAYES,118658,Fine Gael Party,Group of the European People's Party (Christian Democrats)
Netherlands,Anja HAZEKAMP,125023,Partij voor de Dieren,Confederal Group of the European United Left - Nordic Green Left
Sweden,Anna HEDH,28131,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Roger HELMER,4516,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Germany,Hans-Olaf HENKEL,124823,Liberal-Conservative Refomists,European Conservatives and Reformists Group
Spain,Esther HERRANZ GARCÍA,22418,Partido Popular,Group of the European People's Party (Christian Democrats)
Poland,Krzysztof HETMAN,124895,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats)
Germany,Maria HEUBUCH,124848,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Poland,Czesław HOC,135540,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Germany,Iris HOFFMANN,124841,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Monika HOHLMEIER,96780,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats)
Sweden,Gunnar HÖKMARK,28124,Moderaterna,Group of the European People's Party (Christian Democrats)
Hungary,György HÖLVÉNYI,124715,Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats)
United Kingdom,Mary HONEYBALL,5846,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Mike HOOKEM,124957,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
France,Brice HORTEFEUX,5565,Les Républicains,Group of the European People's Party (Christian Democrats)
Poland,Danuta Maria HÜBNER,96779,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
United Kingdom,Ian HUDGHTON,2338,Scottish National Party,Group of the Greens/European Free Alliance
Netherlands,Jan HUITEMA,58789,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe
Bulgaria,Filiz HYUSMENOVA,34249,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe
Netherlands,Sophia in 't VELD,28266,Democraten 66,Group of the Alliance of Liberals and Democrats for Europe
Spain,Carlos ITURGAIZ,28398,Partido Popular,Group of the European People's Party (Christian Democrats)
Romania,Cătălin Sorin IVAN,96857,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Robert Jarosław IWASZKIEWICZ,124886,KORWiN,Europe of Freedom and Direct Democracy Group
Finland,Liisa JAAKONSAARI,96684,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Finland,Anneli JÄÄTTEENMÄKI,28314,Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe
France,Yannick JADOT,96740,Europe Écologie,Group of the Greens/European Free Alliance
Germany,Peter JAHR,96772,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Croatia,Ivan JAKOVČIĆ,124754,Istarski demokratski sabor - Dieta democratica istriana,Group of the Alliance of Liberals and Democrats for Europe
France,Jean-François JALKH,124770,Front national,Europe of Nations and Freedom Group
United Kingdom,Diane JAMES,124939,-,Non-attached Members
Spain,Ramón JÁUREGUI ATONDO,97078,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,Benedek JÁVOR,124721,Együtt 2014 - Párbeszéd Magyarországért,Group of the Greens/European Free Alliance
Poland,Danuta JAZŁOWIECKA,96781,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Czech Republic,Petr JEŽEK,124707,ANO 2011,Group of the Alliance of Liberals and Democrats for Europe
Spain,Teresa JIMÉNEZ-BECERRIL BARRIO,96806,Partido Popular,Group of the European People's Party (Christian Democrats)
France,Eva JOLY,96883,Europe Écologie,Group of the Greens/European Free Alliance
Netherlands,Dennis de JONG,96748,Socialistische Partij,Confederal Group of the European United Left - Nordic Green Left
Netherlands,Agnes JONGERIUS,125021,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Marc JOULAUD,124728,Les Républicains,Group of the European People's Party (Christian Democrats)
Spain,Josu JUARISTI ABAUNZ,125051,EH BILDU,Confederal Group of the European United Left - Nordic Green Left
Poland,Marek JUREK,124892,Prawica Rzeczypospolitej,European Conservatives and Reformists Group
France,Philippe JUVIN,96884,Les Républicains,Group of the European People's Party (Christian Democrats)
Austria,Karin KADENBACH,97014,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Eva KAILI,125109,Panhellenic Socialist Movement - Olive Tree,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Jarosław KALINOWSKI,96771,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats)
Estonia,Kaja KALLAS,124697,Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe
Latvia,Sandra KALNIETE,96934,"Partija ""VIENOTĪBA""",Group of the European People's Party (Christian Democrats)
United Kingdom,Syed KAMALL,33569,Conservative Party,European Conservatives and Reformists Group
Germany,Petra KAMMEREVERT,96837,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Austria,Barbara KAPPEL,125024,Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group
Austria,Othmar KARAS,4246,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats)
Denmark,Rina Ronja KARI,122885,Folkebevægelsen mod EU,Confederal Group of the European United Left - Nordic Green Left
United Kingdom,Sajjad KARIM,28481,Conservative Party,European Conservatives and Reformists Group
Latvia,Krišjānis KARIŅŠ,96901,"Partija ""VIENOTĪBA""",Group of the European People's Party (Christian Democrats)
Denmark,Rikke KARLSSON,124876,Independent,European Conservatives and Reformists Group
Poland,Karol KARSKI,124887,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Germany,Sylvia-Yvonne KAUFMANN,1849,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Manolis KEFALOGIANNIS,125068,Nea Demokratia,Group of the European People's Party (Christian Democrats)
Estonia,Tunne KELAM,28424,Erakond Isamaa ja Res Publica Liit,Group of the European People's Party (Christian Democrats)
Czech Republic,Jan KELLER,124695,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Ska KELLER,96734,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Ireland,Seán KELLY,96668,Fine Gael Party,Group of the European People's Party (Christian Democrats)
United Kingdom,Afzal KHAN,124962,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Jude KIRTON-DARLING,124953,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Sławomir KŁOSOWSKI,135541,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Germany,Dieter-Lebrecht KOCH,1852,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Denmark,Jeppe KOFOD,124870,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Czech Republic,Jaromír KOHLÍČEK,28331,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left
Germany,Arndt KOHN,186884,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Bernd KÖLMEL,124824,Liberal-Conservative Refomists,European Conservatives and Reformists Group
Czech Republic,Kateřina KONEČNÁ,23699,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left
Poland,Janusz KORWIN-MIKKE,124879,KORWiN,Non-attached Members
Hungary,Ádám KÓSA,96829,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Germany,Dietmar KÖSTER,124822,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Austria,Elisabeth KÖSTINGER,96882,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats)
Greece,Stelios KOULOGLOU,130833,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left
Bulgaria,Peter KOUROUMBASHEV,124857,-,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,Béla KOVÁCS,102887,Jobbik Magyarországért Mozgalom,Non-attached Members
Bulgaria,Andrey KOVATCHEV,97968,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
Poland,Agnieszka KOZŁOWSKA-RAJEWICZ,124889,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Poland,Zdzisław KRASNODĘBSKI,124891,Bezpartyjny,European Conservatives and Reformists Group
Germany,Constanze KREHL,1854,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Urszula KRUPA,28334,Independent,European Conservatives and Reformists Group
Poland,Barbara KUDRYCKA,28284,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Germany,Werner KUHN,96767,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Slovakia,Eduard KUKAN,96651,Independent,Group of the European People's Party (Christian Democrats)
Finland,Miapetra KUMPULA-NATRI,124735,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Kostadinka KUNEVA,125092,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left
Poland,Zbigniew KUŹMIUK,28389,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Italy,Cécile Kashetu KYENGE,124801,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Finland,Merja KYLLÖNEN,124736,Vasemmistoliitto,Confederal Group of the European United Left - Nordic Green Left
Greece,Miltiadis KYRKOS,125113,The River,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Georgios KYRTSOS,125063,Nea Demokratia,Group of the European People's Party (Christian Democrats)
Bulgaria,Ilhan KYUCHYUK,124866,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe
France,Alain LAMASSOURE,1204,Les Républicains,Group of the European People's Party (Christian Democrats)
United Kingdom,Jean LAMBERT,4531,Green Party,Group of the Greens/European Free Alliance
Belgium,Philippe LAMBERTS,96648,Ecologistes Confédérés pour l'Organisation de Luttes Originales,Group of the Greens/European Free Alliance
Germany,Alexander Graf LAMBSDORFF,28242,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe
Germany,Bernd LANGE,1909,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Esther de LANGE,38398,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats)
Germany,Werner LANGEN,1928,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Estonia,Marju LAURISTIN,124698,Sotsiaaldemokraatlik Erakond,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Giovanni LA VIA,96816,Alternativa Popolare,Group of the European People's Party (Christian Democrats)
France,Jérôme LAVRILLEUX,124731,-,Group of the European People's Party (Christian Democrats)
France,Gilles LEBRETON,124738,Front national/ Rassemblement Bleu Marine,Europe of Nations and Freedom Group
France,Constance LE GRIP,101580,Les Républicains,Group of the European People's Party (Christian Democrats)
Poland,Ryszard Antoni LEGUTKO,96796,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
France,Patrick LE HYARIC,96735,Front de Gauche,Confederal Group of the European United Left - Nordic Green Left
Germany,Jo LEINEN,4262,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Jeroen LENAERS,95074,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats)
France,Jean-Marie LE PEN,1023,Front national,Non-attached Members
France,Marine LE PEN,28210,Front national,Europe of Nations and Freedom Group
Poland,Janusz LEWANDOWSKI,23781,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
United Kingdom,Andrew LEWER,124943,Conservative Party,European Conservatives and Reformists Group
Poland,Bogusław LIBERADZKI,23768,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Peter LIESE,1927,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Germany,Arne LIETZ,124839,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Norbert LINS,124808,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Germany,Barbara LOCHBIHLER,96728,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
France,Philippe LOISEAU,125684,Front national,Europe of Nations and Freedom Group
Denmark,Morten LØKKEGAARD,96709,"Venstre, Danmarks Liberale Parti",Group of the Alliance of Liberals and Democrats for Europe
Belgium,Sander LOONES,128717,Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group
Spain,Verónica LOPE FONTAGNÉ,96765,Partido Popular,Group of the European People's Party (Christian Democrats)
Spain,Javi LÓPEZ,125042,Partit dels Socialistes de Catalunya,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Juan Fernando LÓPEZ AGUILAR,96812,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Paloma LÓPEZ BERMEJO,125047,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left
Spain,Antonio LÓPEZ-ISTÚRIZ WHITE,28399,Partido Popular,Group of the European People's Party (Christian Democrats)
Germany,Sabine LÖSING,96854,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left
Germany,Bernd LUCKE,124820,Liberal-Conservative Refomists,European Conservatives and Reformists Group
Sweden,Olle LUDVIGSSON,96673,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Elżbieta Katarzyna ŁUKACIJEWSKA,96791,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Austria,Ulrike LUNACEK,97017,Die Grünen - Die Grüne Alternative,Group of the Greens/European Free Alliance
Sweden,Peter LUNDGREN,124996,Sverigedemokraterna,Europe of Freedom and Direct Democracy Group
Poland,Krystyna ŁYBACKA,124883,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,David McALLISTER,124806,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
United Kingdom,Linda McAVAN,2327,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Emma McCLARKIN,96919,Conservative Party,European Conservatives and Reformists Group
Ireland,Mairead McGUINNESS,28115,Fine Gael Party,Group of the European People's Party (Christian Democrats)
Czech Republic,Petr MACH,84175,Strana svobodných občanů,Europe of Freedom and Direct Democracy Group
United Kingdom,Anthea McINTYRE,111011,Conservative Party,European Conservatives and Reformists Group
Romania,Monica MACOVEI,96824,Independent,European Conservatives and Reformists Group
Croatia,Ivana MALETIĆ,119436,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats)
Bulgaria,Svetoslav Hristov MALINOV,111027,Democrats for Strong Bulgaria,Group of the European People's Party (Christian Democrats)
Italy,Curzio MALTESE,125192,Lista Tsipras-L'Altra Europa,Confederal Group of the European United Left - Nordic Green Left
Latvia,Andrejs MAMIKINS,124746,"""Saskaņa"" sociāldemokrātiskā partija",Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Ramona Nicole MĂNESCU,39717,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Slovakia,Vladimír MAŇKA,28192,SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Thomas MANN,1922,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
France,Louis-Joseph MANSCOUR,124725,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Florent MARCELLESI,26146,EQUO,Group of the Greens/European Free Alliance
Greece,Notis MARIAS,125069,Greece-The Alternative Road,European Conservatives and Reformists Group
Romania,Marian-Jean MARINESCU,33982,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Portugal,António MARINHO E PINTO,124742,Partido Democrático Republicano,Group of the Alliance of Liberals and Democrats for Europe
United Kingdom,David MARTIN,1403,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Dominique MARTIN,124751,Front national,Europe of Nations and Freedom Group
France,Edouard MARTIN,124947,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Fulvio MARTUSCIELLO,124828,Forza Italia,Group of the European People's Party (Christian Democrats)
Poland,Michał MARUSIK,124894,Kongres Nowej Prawicy,Europe of Nations and Freedom Group
Czech Republic,Jiří MAŠTÁLKA,23704,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left
Italy,Barbara MATERA,96813,Forza Italia,Group of the European People's Party (Christian Democrats)
Portugal,Marisa MATIAS,96820,Bloco de Esquerda,Confederal Group of the European United Left - Nordic Green Left
Spain,Gabriel MATO,96936,Partido Popular,Group of the European People's Party (Christian Democrats)
Italy,Stefano MAULLU,133326,Forza Italia,Group of the European People's Party (Christian Democrats)
France,Emmanuel MAUREL,24505,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Cyprus,Costas MAVRIDES,124691,Democratic Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Eva MAYDELL,98341,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
Austria,Georg MAYER,38511,Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group
United Kingdom,Alex MAYER,185637,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Valentinas MAZURONIS,124768,Darbo partija,Group of the Alliance of Liberals and Democrats for Europe
Germany,Gesine MEISSNER,96870,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe
France,Jean-Luc MÉLENCHON,96742,Front de Gauche,Confederal Group of the European United Left - Nordic Green Left
France,Joëlle MÉLIN,124765,Front national,Europe of Nations and Freedom Group
Germany,Susanne MELIOR,124838,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Portugal,Nuno MELO,96978,Partido Popular,Group of the European People's Party (Christian Democrats)
Denmark,Morten MESSERSCHMIDT,96663,Dansk Folkeparti,European Conservatives and Reformists Group
Hungary,Tamás MESZERICS,124720,Lehet Más A Politika,Group of the Greens/European Free Alliance
Malta,Roberta METSOLA,118859,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats)
Belgium,Louis MICHEL,96670,Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe
Germany,Martina MICHELS,120478,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left
Bulgaria,Iskra MIHAYLOVA,125128,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe
Slovakia,Miroslav MIKOLÁŠIK,28178,Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats)
Spain,Francisco José MILLÁN MON,28400,Partido Popular,Group of the European People's Party (Christian Democrats)
Netherlands,Matthijs van MILTENBURG,125022,Democraten 66,Group of the Alliance of Liberals and Democrats for Europe
Netherlands,Anne-Marie MINEUR,125037,Socialistische Partij,Confederal Group of the European United Left - Nordic Green Left
Malta,Marlene MIZZI,118858,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Austria,Angelika MLINAR,125026,NEOS – Das Neue Österreich,Group of the Alliance of Liberals and Democrats for Europe
Italy,Giulia MOI,124859,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Romania,Sorin MOISĂ,124789,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,Csaba MOLNÁR,124722,Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Bernard MONOT,124761,Front national,Europe of Nations and Freedom Group
Portugal,Cláudia MONTEIRO DE AGUIAR,124734,Partido Social Democrata,Group of the European People's Party (Christian Democrats)
France,Sophie MONTEL,124769,Front national,Europe of Nations and Freedom Group
United Kingdom,Clare MOODY,124944,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Claude MORAES,4519,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Nadine MORANO,72779,Les Républicains,Group of the European People's Party (Christian Democrats)
Italy,Luigi MORGANO,124788,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Elisabeth MORIN-CHARTIER,38596,Les Républicains,Group of the European People's Party (Christian Democrats)
Hungary,Krisztina MORVAI,96661,Jobbik Magyarországért Mozgalom,Non-attached Members
Italy,Alessia Maria MOSCA,124868,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Ulrike MÜLLER,124862,Freie Wähler,Group of the Alliance of Liberals and Democrats for Europe
Romania,Siegfried MUREŞAN,124802,Partidul Mișcarea Populară,Group of the European People's Party (Christian Democrats)
France,Renaud MUSELIER,124729,Les Républicains,Group of the European People's Party (Christian Democrats)
Italy,Alessandra MUSSOLINI,28429,Forza Italia,Group of the European People's Party (Christian Democrats)
Slovakia,József NAGY,124926,MOST - HÍD,Group of the European People's Party (Christian Democrats)
Spain,Javier NART,125005,Ciudadanos – Partido de la Ciudadanía,Group of the Alliance of Liberals and Democrats for Europe
Romania,Victor NEGRESCU,88882,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Momchil NEKOV,125013,Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Norbert NEUSER,96844,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Dan NICA,124784,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,James NICHOLSON,1318,Ulster Unionist Party,European Conservatives and Reformists Group
Romania,Norica NICOLAI,96825,Independent,Group of the Alliance of Liberals and Democrats for Europe
Germany,Angelika NIEBLER,4289,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats)
Czech Republic,Luděk NIEDERMAYER,124701,TOP 09 a Starostové,Group of the European People's Party (Christian Democrats)
Hungary,Péter NIEDERMÜLLER,124723,Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Cora van NIEUWENHUIZEN,125019,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe
Sweden,Jens NILSSON,111024,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Ireland,Liadh NÍ RIADA,124987,Sinn Féin,Confederal Group of the European United Left - Nordic Green Left
Netherlands,Lambert van NISTELROOIJ,28165,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats)
Germany,Maria NOICHL,124836,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Andrey NOVAKOV,107212,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
United Kingdom,Paul NUTTALL,96805,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Austria,Franz OBERMAYR,96981,Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group
United Kingdom,Patrick O'FLYNN,124940,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Poland,Jan OLBRYCHT,28288,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
France,Younous OMARJEE,30482,L'union pour les Outremer,Confederal Group of the European United Left - Nordic Green Left
Poland,Stanisław OŻÓG,124897,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Latvia,Artis PABRIKS,124743,"Partija ""VIENOTĪBA""",Group of the European People's Party (Christian Democrats)
Estonia,Urmas PAET,129073,Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe
Spain,Maite PAGAZAURTUNDÚA RUIZ,125038,"Unión, Progreso y Democracia",Group of the Alliance of Liberals and Democrats for Europe
Lithuania,Rolandas PAKSAS,96694,Partija Tvarka ir teisingumas,Europe of Freedom and Direct Democracy Group
Italy,Pier Antonio PANZERI,28365,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Massimo PAOLUCCI,124849,Articolo UNO – Movimento Democratico e Progressista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Cyprus,Demetris PAPADAKIS,124692,Movement for Social Democracy EDEK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Konstantinos PAPADAKIS,125093,Communist Party of Greece,Non-attached Members
Greece,Dimitrios PAPADIMOULIS,28586,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left
France,Gilles PARGNEAUX,96948,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
